Designator;Mid X;Mid Y;Layer;Rotation
C1;111.187000;-88.708000;top;0.000000
C3;112.203000;-93.252000;top;90.000000
C4;165.800000;-104.300000;top;0.000000
C5;164.900000;-63.000000;top;-90.000000
C6;111.187000;-90.740000;top;90.000000
C7;162.080000;-59.600000;top;0.000000
C8;184.100000;-66.200000;top;180.000000
C9;156.870000;-57.112000;top;180.000000
C10;111.380000;-96.840000;top;90.000000
C11;189.400000;-97.600000;top;0.000000
C12;164.801000;-89.366000;top;180.000000
C13;142.500000;-56.542500;top;-90.000000
D1;178.816000;-70.612000;top;180.000000
D2;132.900000;-53.350000;top;-90.000000
D3;165.180000;-97.500000;top;0.000000
D4;103.900000;-107.162500;top;90.000000
D5;114.296000;-106.765000;top;90.000000
D6;119.500000;-106.740000;top;90.000000
D7;125.600000;-106.902500;top;90.000000
D8;131.000000;-106.940000;top;90.000000
D9;139.500000;-106.502500;top;90.000000
F1;104.524000;-53.340000;top;0.000000
J3;187.400000;-85.000000;top;0.000000
J5;152.780000;-92.645000;top;0.000000
J7;191.000000;-80.800000;top;0.000000
L1;173.200000;-80.264000;top;180.000000
R1;179.920000;-87.500000;top;90.000000
R2;190.225000;-35.400000;top;180.000000
R3;179.600000;-90.800000;top;0.000000
R4;174.920000;-93.500000;top;0.000000
R5;166.250000;-55.212000;top;0.000000
R6;114.300000;-100.712500;top;90.000000
R7;154.150000;-55.887000;top;90.000000
R8;153.600000;-102.475000;top;90.000000
R9;149.241000;-102.363000;top;90.000000
R10;159.300000;-102.300000;top;90.000000
R11;104.400000;-83.440000;top;0.000000
R12;103.900000;-112.750500;top;-90.000000
R13;114.296000;-112.528500;top;-90.000000
R14;119.500000;-112.519000;top;-90.000000
R15;125.600000;-112.760000;top;-90.000000
R16;131.000000;-112.703500;top;90.000000
R17;139.500000;-112.774000;top;-90.000000
R18;103.900000;-100.900000;top;90.000000
R19;191.800000;-89.400000;top;180.000000
U1;106.172000;-90.867000;top;180.000000
U2;173.120000;-88.900000;top;0.000000
U3;160.500000;-56.100000;top;0.000000
U7;152.445000;-88.752000;top;180.000000
