Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","Li_ion_Battery_Cell","BatteryHolder_Keystone_1042_1x18650",143.611600,-35.458400,180.000000,top
"C1","100nF","C_0402_1005Metric",111.187000,-88.708000,0.000000,top
"C3","100nF","C_0402_1005Metric",112.203000,-93.252000,90.000000,top
"C4","100nF","C_0402_1005Metric",165.800000,-104.300000,0.000000,top
"C5","1uF","C_0603_1608Metric",164.900000,-63.000000,-90.000000,top
"C6","1uF","C_0603_1608Metric",111.187000,-90.740000,90.000000,top
"C7","100nF","C_0402_1005Metric",162.080000,-59.600000,0.000000,top
"C8","100uF/16V","CP_Elec_5x5.4",184.100000,-66.200000,180.000000,top
"C9","100nF","C_0402_1005Metric",156.870000,-57.112000,180.000000,top
"C10","100nF","C_0402_1005Metric",111.380000,-96.840000,90.000000,top
"C11","220uF/16V","CP_Elec_8x10.5",189.400000,-97.600000,0.000000,top
"C12","180pF","C_0603_1608Metric",164.801000,-89.366000,180.000000,top
"C13","4,7uF","CP_Elec_8x10",142.500000,-56.542500,-90.000000,top
"D1","1N5822","D_DO-201AD_P15.24mm_Horizontal",180.920000,-75.900000,180.000000,top
"D2","SA6.0A","D_DO-15_P12.70mm_Horizontal",132.900000,-53.350000,-90.000000,top
"D3","1N5822","D_DO-201AD_P15.24mm_Horizontal",165.180000,-97.500000,0.000000,top
"D4","LED","LED_0805_2012Metric",103.900000,-107.162500,90.000000,top
"D5","LED","LED_0805_2012Metric",114.296000,-106.765000,90.000000,top
"D6","LED","LED_0805_2012Metric",119.500000,-106.740000,90.000000,top
"D7","LED","LED_0805_2012Metric",125.600000,-106.902500,90.000000,top
"D8","LED","LED_0805_2012Metric",131.000000,-106.940000,90.000000,top
"D9","LED","LED_0805_2012Metric",139.500000,-106.502500,90.000000,top
"F1","2A","Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open",104.524000,-53.340000,0.000000,top
"J1","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",109.100000,-102.800000,0.000000,top
"J2","DE9_Plug","DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm",97.279531,-86.663200,-90.000000,top
"J3","5V5","PinHeader_1x01_P1.00mm_Vertical",187.400000,-85.000000,0.000000,top
"J4","Barrel_Jack_Switch_Pin3Ring","BarrelJack_GCT_DCJ200-10-A_Horizontal",173.500000,-53.700000,90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",152.780000,-92.645000,0.000000,top
"J7","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Vertical",191.000000,-80.800000,0.000000,top
"L1","7uH","L_Abracon_ASPI-4030S",173.200000,-82.500000,180.000000,top
"R1","220_1%","R_0603_1608Metric",179.920000,-87.500000,90.000000,top
"R2","100m_1%","R_0603_1608Metric",190.225000,-35.400000,180.000000,top
"R3","47k_1%","R_0603_1608Metric",179.600000,-90.800000,0.000000,top
"R4","15k_1%","R_0603_1608Metric",174.920000,-93.500000,0.000000,top
"R5","1k65_1%","R_0603_1608Metric",166.250000,-55.212000,0.000000,top
"R6","10k_1%","R_0805_2012Metric",114.300000,-100.712500,90.000000,top
"R7","0R_1%","R_0603_1608Metric",154.150000,-55.887000,90.000000,top
"R8","2,2k","R_0603_1608Metric",153.600000,-102.475000,90.000000,top
"R9","2,2k","R_0603_1608Metric",149.241000,-102.363000,90.000000,top
"R10","2,2k","R_0603_1608Metric",159.300000,-102.300000,90.000000,top
"R11","5,6K_1%","R_0603_1608Metric",104.400000,-83.440000,0.000000,top
"R12","470_1%","R_0603_1608Metric",103.900000,-112.750500,-90.000000,top
"R13","470_1%","R_0603_1608Metric",114.296000,-112.528500,-90.000000,top
"R14","470_1%","R_0603_1608Metric",119.500000,-112.519000,-90.000000,top
"R15","470_1%","R_0603_1608Metric",125.600000,-112.760000,-90.000000,top
"R16","470_1%","R_0603_1608Metric",131.000000,-112.703500,90.000000,top
"R17","470_1%","R_0603_1608Metric",139.500000,-112.774000,-90.000000,top
"R18","10k_1%","R_0805_2012Metric",103.900000,-100.900000,90.000000,top
"Rsc1","1,18_1%","R_0603_1608Metric",191.800000,-89.400000,180.000000,top
"U1","MAX232","SOIC-16_3.9x9.9mm_P1.27mm",106.172000,-90.867000,180.000000,top
"U2","MC34063AD","SOP-8_3.9x4.9mm_P1.27mm",173.120000,-88.900000,0.000000,top
"U3","LTC4057ES5-4.2_TRMPBF","SOT-23-5_HandSoldering",160.500000,-56.100000,0.000000,top
"U6","WeMos_D1_mini","WEMOS_D1_mini_light",119.500000,-76.900000,0.000000,top
"U7","LTC2942","DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm",152.445000,-88.752000,180.000000,top
